SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-23-2021,Single Family Residential,1941 Hardway Ln,Bremerton,WA,98312,515000,3,2.5,West Hills,2537,3049,2019,83,203,,Sold,,,http://www.redfin.com/WA/Bremerton/1941-Hardway-Ln-98312/home/168708338,NWMLS,1793393,N,Y,47.548433,-122.6778289
PAST SALE,September-17-2021,Single Family Residential,603 Times Ave,Bremerton,WA,98312,495000,4,2.5,West Bremerton,2528,5663,1941,27,196,,Sold,,,http://www.redfin.com/WA/Bremerton/603-Times-Ave-98312/home/2319421,NWMLS,1821576,N,Y,47.5675206,-122.6579715
PAST SALE,April-6-2021,Single Family Residential,1502 Baker Heights Loop,Bremerton,WA,98132,570000,4,2.5,Bremerton,2501,6248,2020,191,228,50,Sold,,,http://www.redfin.com/WA/Bremerton/1502-Baker-Heights-Loop-98312/home/172284334,NWMLS,1729789,N,Y,47.5560098,-122.6997964
PAST SALE,November-10-2020,Single Family Residential,1492 Baker Heights (Homesite 47) Loop,Bremerton,WA,98312,491950,4,2.5,West Bremerton,2501,6248,2020,338,197,55,Sold,,,http://www.redfin.com/WA/Bremerton/1492-Baker-Heights-Loop-98312/home/172665257,NWMLS,1642865,N,Y,47.5557836,-122.6998129
PAST SALE,January-27-2021,Single Family Residential,911 Baker Heights (Homesite 190) Loop,Bremerton,WA,98312,499950,4,2.5,West Bremerton,2501,6248,2020,260,200,55,Sold,,,http://www.redfin.com/WA/Bremerton/911-Baker-Heights-Loop-98312/home/173328484,NWMLS,1674709,N,Y,47.555837,-122.6976365
PAST SALE,September-16-2021,Single Family Residential,1037 Timberline (Homesite 127) Ave,Bremerton,WA,98312,594950,4,2.5,West Bremerton,2501,6205,2021,28,238,50,Sold,,,http://www.redfin.com/WA/Bremerton/1037-Timberline-Ave-98312/home/175136030,NWMLS,1773271,N,Y,47.5527822,-122.6985935
PAST SALE,September-9-2021,Single Family Residential,913 Timberline (Homesite 148) Ave,Bremerton,WA,98312,584950,4,2.5,West Bremerton,2501,5450,2021,35,234,50,Sold,,,http://www.redfin.com/WA/Bremerton/913-Timberline-Ave-98312/home/174488015,NWMLS,1769628,N,Y,47.5557235,-122.6987013
PAST SALE,July-29-2021,Single Family Residential,1025 Baker Heights (Homesite 130) Loop,Bremerton,WA,98312,559950,4,2.5,West Bremerton,2501,5450,2021,77,224,50,Sold,,,http://www.redfin.com/WA/Bremerton/1025-Baker-Heights-Loop-98312/home/174643318,NWMLS,1739148,N,Y,47.554203,-122.6975185
PAST SALE,April-7-2021,Single Family Residential,919 Baker Heights (Homesite 188) Loop,Bremerton,WA,98312,535950,4,2.5,West Bremerton,2501,5450,2021,190,214,50,Sold,,,http://www.redfin.com/WA/Bremerton/919-Baker-Heights-Loop-98312/home/174207781,NWMLS,1720300,N,Y,47.5555627,-122.697636
PAST SALE,March-31-2021,Single Family Residential,924 Baker Heights (Homesite 198) Loop,Bremerton,WA,98312,579950,4,2.5,West Bremerton,2501,5450,2020,197,232,55,Sold,,,http://www.redfin.com/WA/Bremerton/924-Baker-Heights-Loop-98312/home/173678316,NWMLS,1688719,N,Y,47.5554432,-122.6969879
